rank_type,text_a_orig,text_b_orig,TF-IDF,Word2Vec-lvl2a,Word2Vec-lvl1a,BERT-combMIMC
bottom,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,0.0598,0.8279,0.9262,0.9284
bottom,i thought about my dad being in a jazz concert my dad loved jazz and wherever i hear it i think about him this song brought feelings of nostalgia and curiosity | i imagined myself walking into an empty church building where the music instruments are being tested before church service | it did not hi…,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,0.0595,0.8857,0.9614,0.9655
bottom,sounds quite magical and whimsical | playing a video game and entering a new zone area | it sounded like an extended version of a 90s console start up sound | i imagined an 80s esque piece abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the son…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,0.0594,0.9013,0.9508,0.9532
bottom,very dynamic could see people dancing to this in a bar or somewhere similar jazzy very fun and upbeat | jazz club cocktails and high end ladies in fancy dresses and men in suits potentially some people up dancing at the front in a swing style | i imagined my self in the audience watching a live orch…,i could see a loading screen for a video game an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards | i felt a space…,0.0594,0.9052,0.9611,0.9618
bottom,phoning some company for help and then being put on hold for a long time while this music plays | it sounds like elevator music or the music you get on a call when you are put on hold would also fit a generic supermarket in a movie | music in some sort of speakeasy if you have ever watched broad cit…,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,0.059,0.8757,0.9551,0.9639
bottom,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,0.0574,0.8694,0.9433,0.9423
bottom,very peppy like lift music again feels busy like you need to do something maybe walking through a shopping center listening to this in the background | fun supermarket shopping scene in a coming of age movie | reminds me of a tom jerry show i used to watch the sound track playing in the background w…,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,0.0545,0.8925,0.9538,0.9621
bottom,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles | first thought was the greatest video game of all time la noir its straight out of a 40s jazz club or a prohibition era speakeasy | at first i could imagine a browser window with a cafe ambient video playing and then i coul…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,0.0543,0.879,0.938,0.9449
bottom,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,0.0507,0.8674,0.9328,0.9308
bottom,very heavy rock not for me somewhere that i do not belong did not enjoy | middle aged men who ride motorbikes with long grey beards mosh pits dark night time concert loud headbanging | i imagined my self watching a bunch of heavy metal songs with my favorite headset on | it felt like i was at a meta…,i could see a loading screen for a video game an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards | i felt a space…,0.0501,0.877,0.9494,0.9599
