Potential Misspelling,Original Text
statham,The clip reminds me of a popular Jason statham action movie i watched a few years ago. The main actor being chased by the bad guys or the cops.
20sstyle,"I imagined some sort of 20's-style anime, maybe like Baccano, with some manner of heist going on with this as the BGM."
baccano,"I imagined some sort of 20's-style anime, maybe like Baccano, with some manner of heist going on with this as the BGM."
bgm,"I imagined some sort of 20's-style anime, maybe like Baccano, with some manner of heist going on with this as the BGM."
dimlylit,"Dimly-lit dancehall, bright, flashing LED lights, a DJ hyping the people up in the crowd, almost a rave air about it."
dancehall,"Dimly-lit dancehall, bright, flashing LED lights, a DJ hyping the people up in the crowd, almost a rave air about it."
dj,"Dimly-lit dancehall, bright, flashing LED lights, a DJ hyping the people up in the crowd, almost a rave air about it."
prohibitionera,"Classic lounge music, prohibition-era speakeasy or something like that, a scene you'd see in some older show or movie centering on a private eye."
noir,"Noir film, rainy night in the inner city, as the private eye walks somberly down the middle of the empty road. Very evocative."
nt,"It's not even that I have a thought of where it should be, I just don't picture that in a bar. It's more at home in a Guitar Hero game than a bar. If I hear that in a bar, I have to haul it out of there, because this is some serious biker bar or something."
tech,"This is the kind of background music you hear when some big tech company makes some ""major innovation in the sphere"" and decides to make a five-minute-long info dump explaining why this $1000 smartphone is different from the one you just bought."
fiveminutelong,"This is the kind of background music you hear when some big tech company makes some ""major innovation in the sphere"" and decides to make a five-minute-long info dump explaining why this $1000 smartphone is different from the one you just bought."
1000,"This is the kind of background music you hear when some big tech company makes some ""major innovation in the sphere"" and decides to make a five-minute-long info dump explaining why this $1000 smartphone is different from the one you just bought."
smartphone,"This is the kind of background music you hear when some big tech company makes some ""major innovation in the sphere"" and decides to make a five-minute-long info dump explaining why this $1000 smartphone is different from the one you just bought."
megaman,This is what someone puts as the backing music for their modern take on MegaMan in a big fight. It's like a modernized rom hack.
ll,"This feels like it was just ripped straight from a level in Shovel Knight. Dunno which though, never beat it myself. If you play this in a bar, they'll laugh you straight out."
80,"That sounds like the opening theme (or closing theme, not sure now) to some 80's sitcom. Not gonna specify which, you can really just take your pic, they all had a very same-y sound profile for it."
gon,"That sounds like the opening theme (or closing theme, not sure now) to some 80's sitcom. Not gonna specify which, you can really just take your pic, they all had a very same-y sound profile for it."
bossfight,I felt and envisioned a suspenseful boss-fight in a video
intro,It sounded like it could be an intro to some romantic tv show or video game.
tv,It sounded like it could be an intro to some romantic tv show or video game.
ve,"My first thought was it could've been from a sit-com tvshow, and then I imagined driving around as Wario in mariocart."
tvshow,"My first thought was it could've been from a sit-com tvshow, and then I imagined driving around as Wario in mariocart."
wario,"My first thought was it could've been from a sit-com tvshow, and then I imagined driving around as Wario in mariocart."
mariocart,"My first thought was it could've been from a sit-com tvshow, and then I imagined driving around as Wario in mariocart."
tv,"It sounded like a bit played in a tv show or a very old video game, not a concert at all."
minecraft,What popped up in my head right away and all I could think of was minecraft.
caf,I thought of a cute little café sim kind of game.
sim,I thought of a cute little café sim kind of game.
tvshow,"Felt like a scene out of a TV-show, I imagined a couple on the beach leaning on a car watching the sunset."
megaman,That was entirely from an old video game like megaman or something like that.
tv,Felt like a scene in an old tv show where someone is sitting alone in the bar and waiting for someone that never showed up.
intro,I imagined the intro screen to some kind of underwater video game.
supermario,I imagined a scene from an old game like supermario 64 or something like that.
64,I imagined a scene from an old game like supermario 64 or something like that.
videogame,First I imagined a space game where you fly around in a space ship and then I imagined watching the aliens in the halo videogame looking out the windows of their spaceship
nt,I'd say this was relaxing music but I wouldn't associate it with video game music
shouty,A sort of different kind of Rock. I was expecting it to be a bit shouty but there was just a hint of that
sci,Expect to hear this in an action adventure sci fi game
fi,Expect to hear this in an action adventure sci fi game
90,A song usually played at a party especially in movies of the 90's.
gisting,"I saw myself having fun at a concert, dancing and enjoying the music with friends from school, we were having a reunion and just drinking, gisting, dancing and everyone seemed happy"
etc,"chaotic and busy areas especially the busy places in New York City, The traffic, the rowdiness, the noise etc. I dont like such places, I prefer a quiet and peaceful environment"
dont,"chaotic and busy areas especially the busy places in New York City, The traffic, the rowdiness, the noise etc. I dont like such places, I prefer a quiet and peaceful environment"
thats,"I saw my lovely son Eric acting in their school drama, there was this time I watched him act and I was very proud of him, the music is similar perhaps thats why I immediately imagined the scene"
laidback,"It has a nice, laid-back vibe. The kind of song you could listen while hanging out with friends on a summer evening."
fastpaced,It sounded like the kind of music I'd hear in a fast-paced action movie scene.
comingofage,It sounded like the kind of music I'd hear during a montage in a coming-of-age movie
highspeed,It makes me think of a high-speed car chase through a neon-lit city
neonlit,It makes me think of a high-speed car chase through a neon-lit city
iwith,"I imagine dining iwith my husband in our favorite restaurant. We are drinking wine,eating our favorite meals and the music is playing in the background."
unconfortable,I imagine my new neighbor's teenage playing the song on their home theater. He plays the music on loud volume thanks feels unconfortable
tv,I imagine watching a tv show. The song plays before the show begins
90,I am watching a romantic movie from the 90's and this is playing
dat,I imagine we are playing dat with my friends in the bar and this song plays. Its my favorite so I stand up and dance
robinsons,i have this thought of a movie meet the robinsons. it an animated movie i really enjoyed then.
thats,thats pop music gives the feeling of having fun sing along and dancing at the same time
westlife,it feels like love sound by westlife and i enjoys the smoothness of it
gta,it gave the thought of one of the scenes in GTA san andrea
muself,i could muself working on my home chore or  in the garden
doesn,"It reminds me of that summer night with friends, windows down, music blasting, not a care in the world. Maybe life doesn’t have to be that serious all the time.just a cool chilly relaxation."
timejust,"It reminds me of that summer night with friends, windows down, music blasting, not a care in the world. Maybe life doesn’t have to be that serious all the time.just a cool chilly relaxation."
nt,"The rhythm taps into something under the surface, a feeling I can't quite name. I’m not sad, not happy just here, just alive, in sync with the pulse of the night"
gabling,"i imagined the environment of a gabling place, likely a cassino with people around busy trying their luck "
peolple,"i imagined my self immersed in an environment filled with peolple playing instruments, the mood is elevating and am lost in fantasy and a having a lifetime fun"
ringtone,The tune gives a ringtone vibe.
1970s,That made me think of a 1970s jazz band 
invision,I invision a midwest rock band / song 
fairytail,kids winter wonderland / fairytail movie 
90s,closing scene to a classic action movie from the early to mid 90s
19601970s,1960-1970s jazz music found in a sitcom.
xxxtentacion,beginning of a xxxtentacion song or any sad genre song 
pacman,sounds from a pacman arcade machine.
45,fancy hotel lobby music 4-5 stars 
ringtone,pulsing android ringtone or alarm sound
3,black ops 3 zombie music 
ferb,opening music for phineas and ferb 
dj,I thought I was in a club dancing with a partner. The music was being played by a Dj late in the night.
wwe,It reminded me a little of when i used to play the WWE video games when i was younger. That's the type of music that they'd play in the background when you weren't in a match
nt,It reminded me a little of when i used to play the WWE video games when i was younger. That's the type of music that they'd play in the background when you weren't in a match
nt,"I imagined a specific concert I'd been to by My Chemical Romance, I had strong visuals of someone drumming. These images continued until the vocal screams came in because that didn't match my memory."
colours,It's hard to explain but its like there were colours or colour tiles changing with every note. Also images of just keyboards floating over the colours.
colour,It's hard to explain but its like there were colours or colour tiles changing with every note. Also images of just keyboards floating over the colours.
colours,It's hard to explain but its like there were colours or colour tiles changing with every note. Also images of just keyboards floating over the colours.
greenscreened,Again I saw a lot of coloured backgrounds changing with the beat. A kind of greenscreened person dancing like in disco-style. And a trumpet and a bass guitar flying across the colours.
discostyle,Again I saw a lot of coloured backgrounds changing with the beat. A kind of greenscreened person dancing like in disco-style. And a trumpet and a bass guitar flying across the colours.
colours,Again I saw a lot of coloured backgrounds changing with the beat. A kind of greenscreened person dancing like in disco-style. And a trumpet and a bass guitar flying across the colours.
etc,"I pictured a dimly lit bar with mostly black design (walls, chairs etc.) and then a drum kit which took up quite a lot of room and the band was wearing black suits."
tv,"A child TV show, like an animated one that doesn't actually exist. Very light blue background for the sky, a colourful catapillar walking buy, a house similar to the one in peppa pig. Occassionally I would visualise someone playing a glockenspiel with beaters."
nt,"A child TV show, like an animated one that doesn't actually exist. Very light blue background for the sky, a colourful catapillar walking buy, a house similar to the one in peppa pig. Occassionally I would visualise someone playing a glockenspiel with beaters."
colourful,"A child TV show, like an animated one that doesn't actually exist. Very light blue background for the sky, a colourful catapillar walking buy, a house similar to the one in peppa pig. Occassionally I would visualise someone playing a glockenspiel with beaters."
catapillar,"A child TV show, like an animated one that doesn't actually exist. Very light blue background for the sky, a colourful catapillar walking buy, a house similar to the one in peppa pig. Occassionally I would visualise someone playing a glockenspiel with beaters."
peppa,"A child TV show, like an animated one that doesn't actually exist. Very light blue background for the sky, a colourful catapillar walking buy, a house similar to the one in peppa pig. Occassionally I would visualise someone playing a glockenspiel with beaters."
occassionally,"A child TV show, like an animated one that doesn't actually exist. Very light blue background for the sky, a colourful catapillar walking buy, a house similar to the one in peppa pig. Occassionally I would visualise someone playing a glockenspiel with beaters."
visualise,"A child TV show, like an animated one that doesn't actually exist. Very light blue background for the sky, a colourful catapillar walking buy, a house similar to the one in peppa pig. Occassionally I would visualise someone playing a glockenspiel with beaters."
visualising,"At first I was visualising a horror game with low brightness, like slenderman, then minecraft and the cave i've recently been playing in. Then when the clicking sounds began it reminded me of a fashion design dress-up game I used to play so I was visualising that."
slenderman,"At first I was visualising a horror game with low brightness, like slenderman, then minecraft and the cave i've recently been playing in. Then when the clicking sounds began it reminded me of a fashion design dress-up game I used to play so I was visualising that."
minecraft,"At first I was visualising a horror game with low brightness, like slenderman, then minecraft and the cave i've recently been playing in. Then when the clicking sounds began it reminded me of a fashion design dress-up game I used to play so I was visualising that."
ve,"At first I was visualising a horror game with low brightness, like slenderman, then minecraft and the cave i've recently been playing in. Then when the clicking sounds began it reminded me of a fashion design dress-up game I used to play so I was visualising that."
dressup,"At first I was visualising a horror game with low brightness, like slenderman, then minecraft and the cave i've recently been playing in. Then when the clicking sounds began it reminded me of a fashion design dress-up game I used to play so I was visualising that."
visualising,"At first I was visualising a horror game with low brightness, like slenderman, then minecraft and the cave i've recently been playing in. Then when the clicking sounds began it reminded me of a fashion design dress-up game I used to play so I was visualising that."
ragnorok,"Geometry dash, Thor Ragnorok, Attack on Titan, nothing came to mind too naturally but thats what it reminded me of."
thats,"Geometry dash, Thor Ragnorok, Attack on Titan, nothing came to mind too naturally but thats what it reminded me of."
2,"At first it reminded me of an alarm and I pictured a phone with an alarm going off on a bed, then a sort of band playing with the drums and then a restaurant once it got going, and then a restaurant in a game like Overcooked 2."
visualising,"Reminded me a lot of anime opening music, I was visualising scenes from Attack on Titan and Tokyo Ghoul. Specifically in AOT of the characters flying through the air like they would do in the opening credits, and similar scenes for Tokyo Ghoul like memorable fight scenes."
aot,"Reminded me a lot of anime opening music, I was visualising scenes from Attack on Titan and Tokyo Ghoul. Specifically in AOT of the characters flying through the air like they would do in the opening credits, and similar scenes for Tokyo Ghoul like memorable fight scenes."
mamoa,"Someone playing the guitar - someone that looks like Jason Mamoa, probably because I've watched Game of Thrones recently. Then also occasionally some anime scenes."
ve,"Someone playing the guitar - someone that looks like Jason Mamoa, probably because I've watched Game of Thrones recently. Then also occasionally some anime scenes."
ve,"Anime opening credits scenes for ones I've watched previously, like Attack on Titan, just like flashes of the screens and brief clips."
50s,people dancing and being happy like in the 50s after the war had finished
programme,moody scenes of a drone filming over the cliff with the sea early evening like a advert for a new drama programme
80s,romantic settings in a 80s themed wine bar with a couple looking loveinlgy into each others eyes
loveinlgy,romantic settings in a 80s themed wine bar with a couple looking loveinlgy into each others eyes
sci,the night sky with shiny stars and moon. Like something out of a sci fi film but with bad effects 
fi,the night sky with shiny stars and moon. Like something out of a sci fi film but with bad effects 
prematch,"prematch fight. tension building up as the crowd cheer in excitement
"
offlaser,this brought back memories of me at rave with my friends early hours of the morning all sweaty dancing our socks offlaser lights going off. fun times
angsty,The credits rolling after an angsty dating sim game
sim,The credits rolling after an angsty dating sim game
scifi,A boss battle with a sci-fi tech looking dragon
tech,A boss battle with a sci-fi tech looking dragon
tech,A bunch of little aliens performing a tech concert
rockpunk,A rock/punk concert with flashing lights but a crowd of a moderate scale
6,"I imagined the opening scene of a movie, with slow motion, a family of 6 in a park, running, talking, laughing, having a picnic, lots of cut scenes."
1980s,"This piece made me think of a woman in the 1980s, walking down one of the main streets in New York, after an intense fight with her boyfriend, she has big curly hair and an almost cream coat on with her handbag over her shoulder, she's crying and walking slowly. The background is dark, but lit by street lights and building windows, there's a small smoke effect in the air."
inbetween,"I imagined two cars racing, a red car and a silver car, the background is hard to make out as they're speeding so fast, swerving inbetween other cars, the chase is intense as the silver car tries his hardest to catch up to the man in the red car, he owes him a lot of money."
8,"I imagined a group of friends one by one, about 8 of them all coming from different directions meeting each other, the first being a man just walking on his own down a quiet New York street, and he gets happier the more friends come over, and they all laugh and talk together whilst walking."
fiving,"I imagined a group of people in a skate park, all skating, passing each other by, high fiving, some people talking and spectating, others trying to do trick shots with their skate boards, and others flying in the air because of the ramps."
restauraunt,"I imagined a man going on a date with her woman to a fancy restauraunt, him pulling her chair out for her to sit down, she feels smitten by him, she's wearing a slim, red dress, with her hair up, and him, a black suit finished off with a tie. They laugh, and eat, hold each others hand, and he decides to propose."
6,I imagined a jazz band of 6 were slowly building a tempo and a song one instrument at a time in a dark jazz club
im,I imagined im sitting in my car with a black and mild alone when i hear this because its the type of beats i like when driving and its a old habit i pick up in the slums with black friends and i hear similar songs with them
im,I imagine im sitting in a dark place with a drink and my phone. It appears to be a bar or club with a relaxed energy
100,I imagine i am street racing in my old work town with my back lifted work car with a turbo charger again. This music flying 100 mph around corners with the lights off on a blacked out car is a good frequent memory
mph,I imagine i am street racing in my old work town with my back lifted work car with a turbo charger again. This music flying 100 mph around corners with the lights off on a blacked out car is a good frequent memory
edm,When i heard this song i thought about being at a edm event and the music about to drop to the next phase of the song.
im,This made me imagine im playing mario hunting stars and killing mobs because the game has this same vibe music to it when playing 
tribespeople,This made me imagine a rainforest with tribespeople with a very peaceful feeling to it. I felt happy and relaxed with nature
scenelocation,"slap stick comedy type of montage of clips during a film, perhaps doing some funny events or combining a bunch of scenes into one. loft lobby hotel music so could be very effective in this scene/location as well. also gave me feelings of old french films or perhaps european non english speaking film perhaps still comedy or black and white, vintage old ambience music"
beatbreakbeat,"originally it started to remind me of christopher nolan films like inception or vaguely some psychological thrillers like memento perhaps, but then it started to provide a beat/breakbeat so it lead me more down the road of imagining coming of age school films where the main character is making a great development in either the story or their individual role such as finding themselves or walking to an important location (films such as fish tank for example, more indie and british films)"
90s,"it gives me nostalgic 90s vibes, some of it relates to kate bush or bjork's music a little bit, so it gives me etheral and angelic vibes but with a hint of 90s/00s downbeat pop. in terms of the scenes imagined it matched the visual aspects of the artists mentioned so a more mature older vibe quite serious and romantic"
etheral,"it gives me nostalgic 90s vibes, some of it relates to kate bush or bjork's music a little bit, so it gives me etheral and angelic vibes but with a hint of 90s/00s downbeat pop. in terms of the scenes imagined it matched the visual aspects of the artists mentioned so a more mature older vibe quite serious and romantic"
90s00s,"it gives me nostalgic 90s vibes, some of it relates to kate bush or bjork's music a little bit, so it gives me etheral and angelic vibes but with a hint of 90s/00s downbeat pop. in terms of the scenes imagined it matched the visual aspects of the artists mentioned so a more mature older vibe quite serious and romantic"
coridoor,"much slower song so very late at night setting in a bar, very black and dark vibes. its a slow blowing tone so it could be an exotic and adult club setting, one of the moody darker rooms in the back perhaps the coridoor of a room full of doors, slight paris texas or david lynch energy but the visions of a bela tarr film especially damnation, dark illusive and depressive vibe to the music"
tarr,"much slower song so very late at night setting in a bar, very black and dark vibes. its a slow blowing tone so it could be an exotic and adult club setting, one of the moody darker rooms in the back perhaps the coridoor of a room full of doors, slight paris texas or david lynch energy but the visions of a bela tarr film especially damnation, dark illusive and depressive vibe to the music"
edm,"its not as heavy as ibiza dance music its more like an edm festival so for a bar setting i simply envisioned a very bright bar and perhaps early evening but a late sunrise, so perhaps middle of summer or late summer. the people are old and young as the music is not a certain demographic and has 8 or 24 bit remedies so can be nostaligic for a midaged crowd as well as modern and up to date for younger crowds, for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too"
8,"its not as heavy as ibiza dance music its more like an edm festival so for a bar setting i simply envisioned a very bright bar and perhaps early evening but a late sunrise, so perhaps middle of summer or late summer. the people are old and young as the music is not a certain demographic and has 8 or 24 bit remedies so can be nostaligic for a midaged crowd as well as modern and up to date for younger crowds, for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too"
24,"its not as heavy as ibiza dance music its more like an edm festival so for a bar setting i simply envisioned a very bright bar and perhaps early evening but a late sunrise, so perhaps middle of summer or late summer. the people are old and young as the music is not a certain demographic and has 8 or 24 bit remedies so can be nostaligic for a midaged crowd as well as modern and up to date for younger crowds, for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too"
nostaligic,"its not as heavy as ibiza dance music its more like an edm festival so for a bar setting i simply envisioned a very bright bar and perhaps early evening but a late sunrise, so perhaps middle of summer or late summer. the people are old and young as the music is not a certain demographic and has 8 or 24 bit remedies so can be nostaligic for a midaged crowd as well as modern and up to date for younger crowds, for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too"
midaged,"its not as heavy as ibiza dance music its more like an edm festival so for a bar setting i simply envisioned a very bright bar and perhaps early evening but a late sunrise, so perhaps middle of summer or late summer. the people are old and young as the music is not a certain demographic and has 8 or 24 bit remedies so can be nostaligic for a midaged crowd as well as modern and up to date for younger crowds, for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too"
minecraft,"its not as heavy as ibiza dance music its more like an edm festival so for a bar setting i simply envisioned a very bright bar and perhaps early evening but a late sunrise, so perhaps middle of summer or late summer. the people are old and young as the music is not a certain demographic and has 8 or 24 bit remedies so can be nostaligic for a midaged crowd as well as modern and up to date for younger crowds, for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too"
1950s,"hard bop chicago new york jazz scene of the 1950s stuff like miles davis charlie parker of the 30s 40s type of energy, its a real late night blues jazz community, cigars and smoking and real late hours of enjoying real music not as commercialised as today more people living in the moment i can imagine distinctive chatter at the back but not as close to the performers. really small distance between the stage and those attending"
30s,"hard bop chicago new york jazz scene of the 1950s stuff like miles davis charlie parker of the 30s 40s type of energy, its a real late night blues jazz community, cigars and smoking and real late hours of enjoying real music not as commercialised as today more people living in the moment i can imagine distinctive chatter at the back but not as close to the performers. really small distance between the stage and those attending"
40s,"hard bop chicago new york jazz scene of the 1950s stuff like miles davis charlie parker of the 30s 40s type of energy, its a real late night blues jazz community, cigars and smoking and real late hours of enjoying real music not as commercialised as today more people living in the moment i can imagine distinctive chatter at the back but not as close to the performers. really small distance between the stage and those attending"
commercialised,"hard bop chicago new york jazz scene of the 1950s stuff like miles davis charlie parker of the 30s 40s type of energy, its a real late night blues jazz community, cigars and smoking and real late hours of enjoying real music not as commercialised as today more people living in the moment i can imagine distinctive chatter at the back but not as close to the performers. really small distance between the stage and those attending"
techo,more of a deep techo track somebody like tiesto playing in 2004 or something to a large room dark crowd and neon light show slowly building up the song to an eventual large grand loud finish
tiesto,more of a deep techo track somebody like tiesto playing in 2004 or something to a large room dark crowd and neon light show slowly building up the song to an eventual large grand loud finish
2004,more of a deep techo track somebody like tiesto playing in 2004 or something to a large room dark crowd and neon light show slowly building up the song to an eventual large grand loud finish
ish,traditional sludge funeral doom type of band - this is very much up my alley of type of music especially recently. i can imagine a small ish venue performing and the band being more popular 20 years ago its a dark dingy room black attire long hair a good mix of female and male
20,traditional sludge funeral doom type of band - this is very much up my alley of type of music especially recently. i can imagine a small ish venue performing and the band being more popular 20 years ago its a dark dingy room black attire long hair a good mix of female and male
edm,"it reminded me heavily of an edm concert type of drop so for a video game i was envisioning things like halo or tron legacy but i dont have experience with these games, so something that follows similar ideas that allows multiplayer/shooting games or objective based games like teams claiming territory but more futuristic (100% futuristic) the game provides a lot of energy and bounce so aspects of a future generation like advances in technology really add and compliment that effect of the music"
tron,"it reminded me heavily of an edm concert type of drop so for a video game i was envisioning things like halo or tron legacy but i dont have experience with these games, so something that follows similar ideas that allows multiplayer/shooting games or objective based games like teams claiming territory but more futuristic (100% futuristic) the game provides a lot of energy and bounce so aspects of a future generation like advances in technology really add and compliment that effect of the music"
dont,"it reminded me heavily of an edm concert type of drop so for a video game i was envisioning things like halo or tron legacy but i dont have experience with these games, so something that follows similar ideas that allows multiplayer/shooting games or objective based games like teams claiming territory but more futuristic (100% futuristic) the game provides a lot of energy and bounce so aspects of a future generation like advances in technology really add and compliment that effect of the music"
multiplayershooting,"it reminded me heavily of an edm concert type of drop so for a video game i was envisioning things like halo or tron legacy but i dont have experience with these games, so something that follows similar ideas that allows multiplayer/shooting games or objective based games like teams claiming territory but more futuristic (100% futuristic) the game provides a lot of energy and bounce so aspects of a future generation like advances in technology really add and compliment that effect of the music"
100,"it reminded me heavily of an edm concert type of drop so for a video game i was envisioning things like halo or tron legacy but i dont have experience with these games, so something that follows similar ideas that allows multiplayer/shooting games or objective based games like teams claiming territory but more futuristic (100% futuristic) the game provides a lot of energy and bounce so aspects of a future generation like advances in technology really add and compliment that effect of the music"
inbetween,"free jazz improvisation sort of band, jam band, it gave me the thoughts of a local city festival playing middle of the day, middle of the town square, road closed for the festival, and free to all people of the city and playing aimlessly but intelligently in terms of the chords but nothing too experimental or extreme - this is a good thing as it appeals to a more wider crowd old young and all inbetween rather than just one or the other"
isnt,"r&b playing band soft jazz music in a country club sort of aesthetic, nothing too major people popping in and out, maybe attending for another event this isnt the main event could be a conference or tennis or other sport event or awards ceremony this is the passing background music type of band but still enjoyable and luxurious"
themself,"guitar hero absolutely guitar hero type of game, attachment for a physical guitar which the user can use to unlock new songs, genres, bands to play exclusively online or other players in the same household as well or just by themself. unlock achievements and challenge to play the hardest levels which youtube videos frequently post to show how theyre done and gather millions of views"
theyre,"guitar hero absolutely guitar hero type of game, attachment for a physical guitar which the user can use to unlock new songs, genres, bands to play exclusively online or other players in the same household as well or just by themself. unlock achievements and challenge to play the hardest levels which youtube videos frequently post to show how theyre done and gather millions of views"
im,"it's a calm sound and im a fan of calm sounds, it reminds me of my solo moments"
gta,It was like I was driving through a busy street in the GTA 5 game.
5,It was like I was driving through a busy street in the GTA 5 game.
70s,"City skylines at night, smoky jazz clubs, New York, Chicago, Steamy back alleyways, people dancing, 70s clubs"
rainystormy,Rainy/stormy windows in a city apartment. A girl feel re-energised and at peace by it
reenergised,Rainy/stormy windows in a city apartment. A girl feel re-energised and at peace by it
intro,"A movie intro where they show the production company (one that no one has ever heard of or will ever see again as it's been set up for this film alone), and then it runs into the opening scenes of the film"
apool,"Dive bar, customers sat at the bar, some on round tables. Many of them alone. A dart board and apool table in the background. Mirrors everywhere, wooden walls. Smokey fog"
scifi,Felt more like a video game wait screen. Something more sci-fi and robotic. Something that's going to suggest shoot-em-ups and police work
shootemups,Felt more like a video game wait screen. Something more sci-fi and robotic. Something that's going to suggest shoot-em-ups and police work
futurama,"Futuristic cities with flying cars (Futurama esque), at sunset"
esque,"Futuristic cities with flying cars (Futurama esque), at sunset"
favourite,"My favourite local bar that plays this kind of music. It's a bit grotty, it's open late, it's dimly lit and their carpet. There's a feint smell of BO"
bo,"My favourite local bar that plays this kind of music. It's a bit grotty, it's open late, it's dimly lit and their carpet. There's a feint smell of BO"
ve,"I think i've been to this gig, I really recognise the song, even if it was AI perhaps. Dark lights, everyone trailing in black, long hair, leather and candlelight"
recognise,"I think i've been to this gig, I really recognise the song, even if it was AI perhaps. Dark lights, everyone trailing in black, long hair, leather and candlelight"
platformers,"Video games, retro platformers, Maybe boss levels"
nt,I could imagine an intense fight going on against a huge boss that they hadn't seen before
conversating,I could imagine a friend group at a beach conversating and having fun with each other
2d,I could imagine this in a 2d pixel game with the main character finally getting to the last boss of the game after so many hard trials
slowdancing,I could imagine this playing in a wedding and the bride and the groom is slow-dancing together with other people joining in and enjoying the night
electropop,People listen to electropop at the music festival. DJ would drop the beat.
dj,People listen to electropop at the music festival. DJ would drop the beat.
enviorment,"Working in an office, face paced enviorment. Maybe in a jazz bar."
