,clip_name,clip_genre,context_word,clip_context_PAIR,expName,PROLIFIC_PID,File_ID,date,descr_THOUGHT.text,rating_music_prompted.response,rating_spontaneity.response,rating_novelty.response,rating_familiarity.response,rating_enjoyment.response,demographics.headphones,demographics.age,demographics.gender,demographics.livingCountry,demographics.birthCountry,demographics.nativeLanguage,demographics.otherLanguage,demographics.otherLanguageText,demographics.hearingImpariments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback,descr_THOUGHT.text_corrected,METdescr_prepLVL1,METdescr_prepLVL1A,METdescr_prepLVL2,METdescr_prepLVL2A
11,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,very upbeat and metal. i would never hear this in a bar? it sounds like a rock concert or maybe end credits for a video game or something. way too much going on to be played in a bar,5.0,5.0,3.0,1,1,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very upbeat and metal i would never hear this in a bar it sounds like a rock concert or maybe end credits for a video game or something way too much going on to be played in a bar,very upbeat and i would never hear this in a it a or maybe end credits for a or something way too much going on to be played in a,very upbeat and i would never hear this in a it sounds like a or maybe end credits for a or something way too much going on to be played in a,upbeat would never hear maybe end credit something way much go,upbeat would never hear sound like maybe end credit something way much go
12,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,very dynamic. could see people dancing to this in a bar or somewhere similar. jazzy. very fun and upbeat.,5.0,5.0,4.0,1,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very dynamic could see people dancing to this in a bar or somewhere similar jazzy very fun and upbeat,very dynamic could see people dancing to this in a or somewhere similar jazzy very fun and upbeat,very dynamic could see people dancing to this in a or somewhere similar jazzy very fun and upbeat,dynamic could see people dance somewhere similar jazzy fun upbeat,dynamic could see people dance somewhere similar jazzy fun upbeat
13,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"well made, quite sad and dynamic. maybe a sad scene or something is being revealed. doing something important. maybe walking in the rain or going to do something you shouldn't be",5.0,5.0,4.0,1,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be,well quite sad and dynamic maybe a sad or something is being revealed doing something important maybe walking in the rain or going to do something you should not be,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be,well quite sad dynamic maybe sad something reveal something important maybe walk rain go something,well make quite sad dynamic maybe sad scene something reveal something important maybe walk rain go something
14,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,very dynamic. could be swaying to the music with someone you care about. could be sat with a drink alone thinking about your life. something important,5.0,5.0,3.0,1,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important,very dynamic could be swaying to the with someone you care about could be sat with a drink alone about your life something important,very dynamic could be swaying to the with someone you care about could be sat with a drink alone thinking about your life something important,dynamic could sway someone care could sit drink alone life something important,dynamic could sway someone care could sit drink alone think life something important
15,Met_LOW_14,Metal,movie,MOVIE-Met_LOW_14,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,a mix of things that shouldn't be together. doesn't sound right or meshed well to me. too much going on. not sure what part of a movie it would fit. sounded confusing,5.0,5.0,5.0,1,2,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing,a mix of things that should not be together does not right or meshed well to me too much going on not sure what part of a it would fit confusing,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a it would fit sounded confusing,mix thing together right mesh well much go sure part would fit confuse,mix thing together sound right mesh well much go sure part would fit sound confuse
16,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Doesnt fit with what i would imagien for a video game but does make me imagine a character walking into a high end bar or jazz club, specifically in NYC. Would fit with a more slow moving video game ",4.0,5.0,3.0,1,4,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,does not fit with what i would imagine for a video game but does make me imagine a character walking into a high end bar or jazz club specifically in new york city would fit with a more slow moving video game,does not fit with what i would for a but does me a character walking into a high end or club specifically in new york city would fit with a more slow moving,does not fit with what i would imagine for a but does make me imagine a character walking into a high end or club specifically in new york city would fit with a more slow moving,fit would character walk high end club specifically new york city would fit slow move,fit would imagine make imagine character walk high end club specifically new york city would fit slow move
17,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Gave much more upbeat, energy. Imagining a car racing through the streets at night with neon lights aorund or a high speed chase",5.0,5.0,5.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,gave much more upbeat energy imagining a car racing through the streets at night with neon lights around or a high speed chase,gave much more upbeat energy a car racing through the streets at night with neon lights around or a high speed chase,gave much more upbeat energy imagining a car racing through the streets at night with neon lights around or a high speed chase,give much upbeat energy car racing street night neon light around high speed chase,give much upbeat energy imagine car racing street night neon light around high speed chase
19,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Initailly imagined it to be a piece playing over a sad moment of the movie however as the beat was added, it fit more with a coming of age movie",4.0,3.0,3.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,initially imagined it to be a piece playing over a sad moment of the movie however as the beat was added it fit more with a coming of age movie,initially it to be a over a sad moment of the however as the beat was added it fit more with a coming of age,initially imagined it to be a over a sad moment of the however as the beat was added it fit more with a coming of age,initially sad moment however beat add fit come age,initially imagine sad moment however beat add fit come age
20,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Middle aged men who ride motorbikes with long grey beards. Mosh pits. Dark ngith time concert. Loud. Headbanging,4.0,5.0,2.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,middle aged men who ride motorbikes with long grey beards mosh pits dark night time concert loud headbanging,middle aged men who ride motorbikes with long grey beards mosh pits dark night time loud headbanging,middle aged men who ride motorbikes with long grey beards mosh pits dark night time loud headbanging,middle age men ride motorbike long grey beard mosh pit dark night time loud headbanging,middle age men ride motorbike long grey beard mosh pit dark night time loud headbanging
21,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Jazz club, Cocktials and high end. Ladies in fancy dresses ansd men in suits. Potentially some people up dancing at the front in a swing style ",4.0,5.0,2.0,1,5,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,jazz club cocktails and high end ladies in fancy dresses and men in suits potentially some people up dancing at the front in a swing style,club cocktails and high end ladies in fancy dresses and men in suits potentially some people up dancing at the front in a swing style,club cocktails and high end ladies in fancy dresses and men in suits potentially some people up dancing at the front in a swing style,club cocktail high end lady fancy dress men suit potentially people dance front swing style,club cocktail high end lady fancy dress men suit potentially people dance front swing style
22,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Middle aged people at the concert. ,4.0,5.0,5.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,middle aged people at the concert,middle aged people at the,middle aged people at the,middle age people,middle age people
23,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Cant especially imagine this in a bar. Would more fit a club,5.0,5.0,5.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,cannot especially imagine this in a bar would more fit a club,can not especially this in a would more fit a club,can not especially imagine this in a would more fit a club,especially would fit club,especially imagine would fit club
24,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Not sure where this would fit. Can't especially imagine it working very well ,5.0,5.0,3.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,not sure where this would fit cannot especially imagine it working very well,not sure where this would fit can not especially it working very well,not sure where this would fit can not especially imagine it working very well,sure would fit especially work well,sure would fit especially imagine work well
25,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Makes me think of those gaming bars where you drink and they have old games consoles like pacman etc. Or in a 70/80/90s themed bar,5.0,5.0,3.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,makes me think of those gaming bars where you drink and they have old games consoles like pac man etc or in a 70s 80s 90s themed bar,me of those gaming where you drink and they have old consoles pac man etc or in a 70s 80s 90s themed,makes me think of those gaming where you drink and they have old consoles like pac man etc or in a 70s 80s 90s themed,drink old console pac man etc theme,make think drink old console like pac man etc theme
27,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables. Cocktials, old fashioned etc. Young bar staff dressed in black and white ",5.0,5.0,2.0,1,4,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young bar staff dressed in black and white,me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white,made me imagine a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white,high end atmospheric light candle small lamp table cocktail old fashion etc young staff dress black white,make imagine high end atmospheric light candle small lamp table cocktail old fashion etc young staff dress black white
29,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Again jazz bar in NYC, cocktails flowing, older clientelle, eveyrone nicely dressed, atmospheric lighting",4.0,5.0,2.0,1,4,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting,again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting,again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting,new york city cocktail flow old clientele everyone nicely dress atmospheric lighting,new york city cocktail flow old clientele everyone nicely dress atmospheric lighting
30,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Fun supermarket shopping scene in a coming of age movie,5.0,5.0,5.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,fun supermarket shopping scene in a coming of age movie,fun supermarket shopping in a coming of age,fun supermarket shopping scene in a coming of age,fun supermarket shop come age,fun supermarket shop scene come age
31,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Imagine it in a sci fi movie,5.0,5.0,4.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope,imagine it in a science fiction movie,it in a science fiction,imagine it in a science fiction,science fiction,imagine science fiction
32,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"Reminds me of back in the days, my dad used to constantly play Kenny G's songs. I wanted to learn how to play a saxophone so bad.",4.0,4.0,2.0,1,3,True,25,Female,United States,United States,English,False,,False,,5,1,,reminds me of back in the days my dad used to constantly play kenny gs songs i wanted to learn how to play a saxophone so bad,me of back in the days my dad used to constantly kenny gs i wanted to learn how to a so bad,reminds me of back in the days my dad used to constantly kenny gs i wanted to learn how to a so bad,back day dad use constantly kenny gs want learn bad,reminds back day dad use constantly kenny gs want learn bad
33,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,Sort of reminds me of a few racing mobile games i used to play on my first real smartphone. Very nostalgic.,4.0,3.0,1.0,2,4,True,25,Female,United States,United States,English,False,,False,,5,1,,sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic,sort of me of a few racing mobile i used to on my first real smartphone very nostalgic,sort of reminds me of a few racing mobile i used to on my first real smartphone very nostalgic,sort racing mobile use first real smartphone nostalgic,sort reminds racing mobile use first real smartphone nostalgic
34,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"I imagined the korean movies i used to binge watch when i was around the age of 14-16. i had just gotten back from school and after getting my assignments sorted out, My favorite korean show was next in line.",4.0,3.0,1.0,2,4,True,25,Female,United States,United States,English,False,,False,,5,1,,i imagined the korean movies i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line,i the korean i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line,i imagined the korean i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line,korean use binge watch around age get back school get assignment sort favorite korean show next line,imagine korean use binge watch around age get back school get assignment sort favorite korean show next line
35,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"i imagined walking in a clothing store (forever 21, Charlotte russe e.t.c) and hearing this song blasting from the speakers.",5.0,4.0,1.0,2,3,True,25,Female,United States,United States,English,False,,False,,5,1,,i imagined walking in a clothing store forever 21 charlotte russe etc and hearing this song blasting from the speakers,i walking in a clothing store forever 21 charlotte russe etc and hearing this blasting from the speakers,i imagined walking in a clothing store forever 21 charlotte russe etc and hearing this blasting from the speakers,walk clothing store forever charlotte russe etc hearing blast speaker,imagine walk clothing store forever charlotte russe etc hearing blast speaker
37,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"reminds me of an intro on GTA back when i had an x-box. I imagined turning it on and going on gta, while waiting for the whole game to load and hearing this music in the background.",4.0,4.0,1.0,3,2,True,25,Female,United States,United States,English,False,,False,,5,1,,reminds me of an introduction on gta back when i had an xbox i imagined turning it on and going on gta while waiting for the whole game to load and hearing this music in the background,me of an introduction on gta back when i had an xbox i turning it on and going on gta while waiting for the whole to load and hearing this in the background,reminds me of an introduction on gta back when i had an xbox i imagined turning it on and going on gta while waiting for the whole to load and hearing this in the background,introduction gta back xbox turn go gta wait whole load hearing background,reminds introduction gta back xbox imagine turn go gta wait whole load hearing background
38,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,i imagined being in rave with several led and strobe lights. Everyone's having fun and dancing around with a partner.,4.0,2.0,1.0,1,3,True,25,Female,United States,United States,English,False,,False,,5,1,,i imagined being in rave with several led and strobe lights everyones having fun and dancing around with a partner,i being in rave with several led and strobe lights everyones having fun and dancing around with a partner,i imagined being in rave with several led and strobe lights everyones having fun and dancing around with a partner,rave several lead strobe light everyones fun dance around partner,imagine rave several lead strobe light everyones fun dance around partner
39,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,I imagined my self in an old school movie-having a slow dance with a friend while sipping on a glass of wine.,4.0,4.0,1.0,3,5,True,25,Female,United States,United States,English,False,,False,,5,1,,i imagined my self in an old school movie having a slow dance with a friend while sipping on a glass of wine,i my self in an old school having a slow dance with a friend while sipping on a glass of wine,i imagined my self in an old school having a slow dance with a friend while sipping on a glass of wine,self old school slow dance friend sip glass wine,imagine self old school slow dance friend sip glass wine
40,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,i imagined my self in the audience watching a live orchestra. Paying close attention to the smallest details while munching on a bucket of p,4.0,4.0,1.0,2,3,True,25,Female,United States,United States,English,False,,False,,5,1,,i imagined my self in the audience watching a live orchestra paying close attention to the smallest details while munching on a bucket of p,i my self in the audience watching a live orchestra paying close attention to the smallest details while munching on a bucket of p,i imagined my self in the audience watching a live orchestra paying close attention to the smallest details while munching on a bucket of p,self audience watch live orchestra pay close attention small detail munch bucket p,imagine self audience watch live orchestra pay close attention small detail munch bucket p
41,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,reminds me of a music video of my favorite pop musician. i imagined my self being engrossed and entertained.,3.0,5.0,1.0,3,4,True,25,Female,United States,United States,English,False,,False,,5,1,,reminds me of a music video of my favorite pop musician i imagined my self being engrossed and entertained,me of a of my favorite pop musician i my self being engrossed and entertained,reminds me of a of my favorite pop musician i imagined my self being engrossed and entertained,favorite pop musician self engross entertain,reminds favorite pop musician imagine self engross entertain
42,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,i imagined my self watching a live band and feeling nostalgic while nodding my head to the rhythm of the instruments.,3.0,2.0,2.0,3,5,True,25,Female,United States,United States,English,False,,False,,5,1,,i imagined my self watching a live band and feeling nostalgic while nodding my head to the rhythm of the instruments,i my self watching a live and feeling nostalgic while nodding my head to the rhythm of the,i imagined my self watching a live and feeling nostalgic while nodding my head to the rhythm of the,self watch live feel nostalgic nod head rhythm,imagine self watch live feel nostalgic nod head rhythm
43,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,Vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers.,4.0,2.0,1.0,4,3,True,25,Female,United States,United States,English,False,,False,,5,1,,vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers,vividly me of a mobile phone ad that i used to get back during covid while watching my favorite streamers,vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers,vividly mobile phone ad use get back covid watch favorite streamer,vividly remind mobile phone ad use get back covid watch favorite streamer
