,clip_name,clip_genre,context_word,clip_context_PAIR,expName,PROLIFIC_PID,File_ID,date,descr_THOUGHT.text,rating_music_prompted.response,rating_spontaneity.response,rating_novelty.response,rating_familiarity.response,rating_enjoyment.response,demographics.headphones,demographics.age,demographics.gender,demographics.livingCountry,demographics.birthCountry,demographics.nativeLanguage,demographics.otherLanguage,demographics.otherLanguageText,demographics.hearingImpariments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback
11,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,very upbeat and metal. i would never hear this in a bar? it sounds like a rock concert or maybe end credits for a video game or something. way too much going on to be played in a bar,5.0,5.0,3.0,1,1,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
12,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,very dynamic. could see people dancing to this in a bar or somewhere similar. jazzy. very fun and upbeat.,5.0,5.0,4.0,1,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
13,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"well made, quite sad and dynamic. maybe a sad scene or something is being revealed. doing something important. maybe walking in the rain or going to do something you shouldn't be",5.0,5.0,4.0,1,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
14,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,very dynamic. could be swaying to the music with someone you care about. could be sat with a drink alone thinking about your life. something important,5.0,5.0,3.0,1,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
15,Met_LOW_14,Metal,movie,MOVIE-Met_LOW_14,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,a mix of things that shouldn't be together. doesn't sound right or meshed well to me. too much going on. not sure what part of a movie it would fit. sounded confusing,5.0,5.0,5.0,1,2,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,
16,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Doesnt fit with what i would imagien for a video game but does make me imagine a character walking into a high end bar or jazz club, specifically in NYC. Would fit with a more slow moving video game ",4.0,5.0,3.0,1,4,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
17,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Gave much more upbeat, energy. Imagining a car racing through the streets at night with neon lights aorund or a high speed chase",5.0,5.0,5.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
19,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Initailly imagined it to be a piece playing over a sad moment of the movie however as the beat was added, it fit more with a coming of age movie",4.0,3.0,3.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
20,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Middle aged men who ride motorbikes with long grey beards. Mosh pits. Dark ngith time concert. Loud. Headbanging,4.0,5.0,2.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
21,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Jazz club, Cocktials and high end. Ladies in fancy dresses ansd men in suits. Potentially some people up dancing at the front in a swing style ",4.0,5.0,2.0,1,5,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
22,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Middle aged people at the concert. ,4.0,5.0,5.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
23,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Cant especially imagine this in a bar. Would more fit a club,5.0,5.0,5.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
24,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Not sure where this would fit. Can't especially imagine it working very well ,5.0,5.0,3.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
25,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Makes me think of those gaming bars where you drink and they have old games consoles like pacman etc. Or in a 70/80/90s themed bar,5.0,5.0,3.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
27,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables. Cocktials, old fashioned etc. Young bar staff dressed in black and white ",5.0,5.0,2.0,1,4,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
29,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,"Again jazz bar in NYC, cocktails flowing, older clientelle, eveyrone nicely dressed, atmospheric lighting",4.0,5.0,2.0,1,4,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
30,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Fun supermarket shopping scene in a coming of age movie,5.0,5.0,5.0,1,2,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
31,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,609510855d0c8e5bd0bdaf98,clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv,2025-07-01_11h34.15.751,Imagine it in a sci fi movie,5.0,5.0,4.0,1,1,True,23,Female,United Kingdom,United Kingdom,English,False,,False,,5,4,Nope
32,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"Reminds me of back in the days, my dad used to constantly play Kenny G's songs. I wanted to learn how to play a saxophone so bad.",4.0,4.0,2.0,1,3,True,25,Female,United States,United States,English,False,,False,,5,1,
33,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,Sort of reminds me of a few racing mobile games i used to play on my first real smartphone. Very nostalgic.,4.0,3.0,1.0,2,4,True,25,Female,United States,United States,English,False,,False,,5,1,
34,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"I imagined the korean movies i used to binge watch when i was around the age of 14-16. i had just gotten back from school and after getting my assignments sorted out, My favorite korean show was next in line.",4.0,3.0,1.0,2,4,True,25,Female,United States,United States,English,False,,False,,5,1,
35,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"i imagined walking in a clothing store (forever 21, Charlotte russe e.t.c) and hearing this song blasting from the speakers.",5.0,4.0,1.0,2,3,True,25,Female,United States,United States,English,False,,False,,5,1,
37,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,"reminds me of an intro on GTA back when i had an x-box. I imagined turning it on and going on gta, while waiting for the whole game to load and hearing this music in the background.",4.0,4.0,1.0,3,2,True,25,Female,United States,United States,English,False,,False,,5,1,
38,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,i imagined being in rave with several led and strobe lights. Everyone's having fun and dancing around with a partner.,4.0,2.0,1.0,1,3,True,25,Female,United States,United States,English,False,,False,,5,1,
39,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,I imagined my self in an old school movie-having a slow dance with a friend while sipping on a glass of wine.,4.0,4.0,1.0,3,5,True,25,Female,United States,United States,English,False,,False,,5,1,
40,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,i imagined my self in the audience watching a live orchestra. Paying close attention to the smallest details while munching on a bucket of p,4.0,4.0,1.0,2,3,True,25,Female,United States,United States,English,False,,False,,5,1,
41,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,reminds me of a music video of my favorite pop musician. i imagined my self being engrossed and entertained.,3.0,5.0,1.0,3,4,True,25,Female,United States,United States,English,False,,False,,5,1,
42,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,i imagined my self watching a live band and feeling nostalgic while nodding my head to the rhythm of the instruments.,3.0,2.0,2.0,3,5,True,25,Female,United States,United States,English,False,,False,,5,1,
43,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,Vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers.,4.0,2.0,1.0,4,3,True,25,Female,United States,United States,English,False,,False,,5,1,
44,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,i imagined my self watching a bunch of heavy metal songs with my favorite headset on.,5.0,3.0,1.0,3,4,True,25,Female,United States,United States,English,False,,False,,5,1,
45,80s_MED_08,80s,video game,VIDEOGAME-80s_MED_08,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,I imagined my self playing a nostalgic mobile game while this song plays as a sound track while i'm going through the tutorial.,4.0,4.0,2.0,2,3,True,25,Female,United States,United States,English,False,,False,,5,1,
46,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,reminds me of a Tom & jerry show i used to watch. The sound track playing in the background while Tom and jerry are being mischievous as usual.,4.0,5.0,1.0,3,2,True,25,Female,United States,United States,English,False,,False,,5,1,
47,Met_LOW_14,Metal,movie,MOVIE-Met_LOW_14,clip_context_g1,6113ffbf45e79bc2769db74c,clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv,2025-07-01_04h33.24.315,The clip reminds me of a popular Jason statham action movie i watched a few years ago. The main actor being chased by the bad guys or the cops.,4.0,3.0,1.0,3,2,True,25,Female,United States,United States,English,False,,False,,5,1,
48,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"I imagined some sort of 20's-style anime, maybe like Baccano, with some manner of heist going on with this as the BGM.",5.0,4.0,2.0,1,5,True,30,Male,United States,United States,English,False,,False,,3,2,
49,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"Dimly-lit dancehall, bright, flashing LED lights, a DJ hyping the people up in the crowd, almost a rave air about it.",5.0,5.0,4.0,1,4,True,30,Male,United States,United States,English,False,,False,,3,2,
50,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"Classic lounge music, prohibition-era speakeasy or something like that, a scene you'd see in some older show or movie centering on a private eye.",5.0,5.0,4.0,1,5,True,30,Male,United States,United States,English,False,,False,,3,2,
53,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"Noir film, rainy night in the inner city, as the private eye walks somberly down the middle of the empty road. Very evocative.",5.0,5.0,4.0,1,4,True,30,Male,United States,United States,English,False,,False,,3,2,
56,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"It's not even that I have a thought of where it should be, I just don't picture that in a bar. It's more at home in a Guitar Hero game than a bar. If I hear that in a bar, I have to haul it out of there, because this is some serious biker bar or something.",5.0,5.0,3.0,1,2,True,30,Male,United States,United States,English,False,,False,,3,2,
57,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"This is the kind of background music you hear when some big tech company makes some ""major innovation in the sphere"" and decides to make a five-minute-long info dump explaining why this $1000 smartphone is different from the one you just bought.",5.0,5.0,2.0,1,4,True,30,Male,United States,United States,English,False,,False,,3,2,
60,Met_LOW_14,Metal,movie,MOVIE-Met_LOW_14,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,This is what someone puts as the backing music for their modern take on MegaMan in a big fight. It's like a modernized rom hack.,5.0,5.0,5.0,1,4,True,30,Male,United States,United States,English,False,,False,,3,2,
61,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"This feels like it was just ripped straight from a level in Shovel Knight. Dunno which though, never beat it myself. If you play this in a bar, they'll laugh you straight out.",5.0,5.0,2.0,1,4,True,30,Male,United States,United States,English,False,,False,,3,2,
63,80s_MED_08,80s,video game,VIDEOGAME-80s_MED_08,clip_context_g1,629e633c82ed7bd84fce0f9a,clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv,2025-07-01_06h00.46.768,"That sounds like the opening theme (or closing theme, not sure now) to some 80's sitcom. Not gonna specify which, you can really just take your pic, they all had a very same-y sound profile for it.",5.0,5.0,2.0,1,2,True,30,Male,United States,United States,English,False,,False,,3,2,
64,Met_LOW_14,Metal,movie,MOVIE-Met_LOW_14,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,I felt and envisioned a suspenseful boss-fight in a video,5.0,5.0,2.0,2,5,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
65,80s_MED_13,80s,movie,MOVIE-80s_MED_13,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,It sounded like it could be an intro to some romantic tv show or video game.,3.0,2.0,4.0,1,3,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
66,80s_MED_08,80s,video game,VIDEOGAME-80s_MED_08,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,"My first thought was it could've been from a sit-com tvshow, and then I imagined driving around as Wario in mariocart.",4.0,3.0,1.0,1,3,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
67,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,"It sounded like a bit played in a tv show or a very old video game, not a concert at all.",2.0,1.0,4.0,1,2,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
68,Ele_MED_19,Electronic,movie,MOVIE-Ele_MED_19,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,What popped up in my head right away and all I could think of was minecraft.,5.0,5.0,1.0,4,3,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
69,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,I thought of a cute little café sim kind of game.,4.0,4.0,2.0,1,1,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
70,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,"Felt like a scene out of a TV-show, I imagined a couple on the beach leaning on a car watching the sunset.",5.0,5.0,3.0,1,4,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
71,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,I imagined a scene out of a video game with the playable character looking out the window in the evening watching the rain falling down and having an inner monolog,5.0,5.0,3.0,1,3,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
72,Met_MED_19,Metal,bar ,BAR-Met_MED_19,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,"I imagined a scene at a metal concert, standing in the crowd and watching a band.",5.0,5.0,1.0,2,5,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
73,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,That was entirely from an old video game like megaman or something like that.,5.0,5.0,2.0,1,2,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
74,Jaz_MED_02,Jazz,bar ,BAR-Jaz_MED_02,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,Felt like a scene in an old tv show where someone is sitting alone in the bar and waiting for someone that never showed up.,4.0,2.0,4.0,1,1,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
75,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,I imagined the intro screen to some kind of underwater video game.,4.0,4.0,4.0,1,2,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
76,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,It felt like I was at a metal concert to a melodic death metal band.,5.0,5.0,1.0,1,5,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
77,Jaz_LOW_19,Jazz,concert ,CONCERT-Jaz_LOW_19,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,I imagined a scene from an old game like supermario 64 or something like that.,5.0,5.0,2.0,1,3,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
78,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,That sounded like a concert with avenged sevenfold.,5.0,5.0,1.0,1,5,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
79,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,63e5412532b6ef655b596338,clip_context_g1_63e5412532b6ef655b596338_924950.csv,2025-07-01_10h57.55.830,First I imagined a space game where you fly around in a space ship and then I imagined watching the aliens in the halo videogame looking out the windows of their spaceship,5.0,3.0,3.0,1,3,True,29,Male,United Kingdom,Sweden,Swedish,True,English,False,,2,1,I really liked this study! It was fun and made me use my brain!
