"clip_name","context_word","expName","PROLIFIC_PID","File_ID","date","response_thought_or_not.keys","descr_THOUGHT.text","rating_music_prompted.response","rating_spontaneity.response","rating_novelty.response","input_NOT.text","rating_familiarity.response","rating_enjoyment.response","demographics.headphones","demographics.age","demographics.gender","demographics.livingCountry","demographics.birthCountry","demographics.nativeLangue","demographics.otherLanguage","demographics.otherLanguageText","demographics.hearingImpariments","demographics.hearingImpairmentsText","demographics.education","demographics.musicianIdentification","demographics.feedback"
"Electronic_LOW_09_Expansion.mp3","video game","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very charged. sounds like a song i've heard before in an advert about 'you wouldn't steal a ...' blank. feels like it's telling you something. feels important or like you need to be paying attention",4,4,2,NA,4,4,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Metal_MED_19_Thunderhorse.mp3","bar ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very upbeat and metal. i would never hear this in a bar? it sounds like a rock concert or maybe end credits for a video game or something. way too much going on to be played in a bar",5,5,3,NA,1,1,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Jazz_LOW_19_Sembellogy.mp3","concert ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very dynamic. could see people dancing to this in a bar or somewhere similar. jazzy. very fun and upbeat.",5,5,4,NA,1,4,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Electronic_MED_19_Looped.mp3","movie","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","well made, quite sad and dynamic. maybe a sad scene or something is being revealed. doing something important. maybe walking in the rain or going to do something you shouldn't be",5,5,4,NA,1,4,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","bar ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very dynamic. could be swaying to the music with someone you care about. could be sat with a drink alone thinking about your life. something important",5,5,3,NA,1,4,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Metal_LOW_14_Viaje_Por_Existir.mp3","movie","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","a mix of things that shouldn't be together. doesn't sound right or meshed well to me. too much going on. not sure what part of a movie it would fit. sounded confusing",5,5,5,NA,1,2,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","video game","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Doesnt fit with what i would imagien for a video game but does make me imagine a character walking into a high end bar or jazz club, specifically in NYC. Would fit with a more slow moving video game ",4,5,3,NA,1,4,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Electronic_LOW_09_Expansion.mp3","video game","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Gave much more upbeat, energy. Imagining a car racing through the streets at night with neon lights aorund or a high speed chase",5,5,5,NA,1,2,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Electronic_MED_20_The_Distance.mp3","concert ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","n",NA,NA,NA,NA,"Was quite a dull, more electric piece which I couldnt particularly imagine being placed in a concert setting",1,1,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Electronic_MED_19_Looped.mp3","movie","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Initailly imagined it to be a piece playing over a sad moment of the movie however as the beat was added, it fit more with a coming of age movie",4,3,3,NA,1,2,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Metal_LOW_09_Darkside.mp3","concert ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Middle aged men who ride motorbikes with long grey beards. Mosh pits. Dark ngith time concert. Loud. Headbanging",4,5,2,NA,1,1,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Jazz_LOW_19_Sembellogy.mp3","concert ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Jazz club, Cocktials and high end. Ladies in fancy dresses ansd men in suits. Potentially some people up dancing at the front in a swing style ",4,5,2,NA,1,5,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"80s_LOW_06_Summer_Beach.mp3","concert ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Middle aged people at the concert. ",4,5,5,NA,1,2,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Metal_MED_19_Thunderhorse.mp3","bar ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Cant especially imagine this in a bar. Would more fit a club",5,5,5,NA,1,1,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Metal_MED_20_Welcome_to_the_Family.mp3","video game","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Not sure where this would fit. Can't especially imagine it working very well ",5,5,3,NA,1,1,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Electronic_LOW_14_Tape.mp3","bar ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Makes me think of those gaming bars where you drink and they have old games consoles like pacman etc. Or in a 70/80/90s themed bar",5,5,3,NA,1,2,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Metal_LOW_14_Viaje_Por_Existir.mp3","movie","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","n",NA,NA,NA,NA,"Not my style of music and Im not sure I watch many films where this music would feature so hard for me to imagine",1,1,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"80s_LOW_02_Breaking_Away.mp3","bar ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables. Cocktials, old fashioned etc. Young bar staff dressed in black and white ",5,5,2,NA,1,4,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"80s_MED_08_After_Tonight.mp3","video game","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","n",NA,NA,NA,NA,"Have never heard this kind of music in any video games I have played, granted that is a small number",1,2,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","bar ","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Again jazz bar in NYC, cocktails flowing, older clientelle, eveyrone nicely dressed, atmospheric lighting",4,5,2,NA,1,4,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","movie","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Fun supermarket shopping scene in a coming of age movie",5,5,5,NA,1,2,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","movie","clip_context_g1","609510855d0c8e5bd0bdaf98","clip_context_g1_609510855d0c8e5bd0bdaf98_411664.csv","2025-07-01_11h34.15.751","y","Imagine it in a sci fi movie",5,5,4,NA,1,1,TRUE,23,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,4,"Nope"
"80s_LOW_02_Breaking_Away.mp3","bar ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","Reminds me of back in the days, my dad used to constantly play Kenny G's songs. I wanted to learn how to play a saxophone so bad.",4,4,2,NA,1,3,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Metal_MED_20_Welcome_to_the_Family.mp3","video game","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","Sort of reminds me of a few racing mobile games i used to play on my first real smartphone. Very nostalgic.",4,3,1,NA,2,4,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","movie","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","I imagined the korean movies i used to binge watch when i was around the age of 14-16. i had just gotten back from school and after getting my assignments sorted out, My favorite korean show was next in line.",4,3,1,NA,2,4,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"80s_LOW_06_Summer_Beach.mp3","concert ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","i imagined walking in a clothing store (forever 21, Charlotte russe e.t.c) and hearing this song blasting from the speakers.",5,4,1,NA,2,3,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Metal_MED_19_Thunderhorse.mp3","bar ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","n",NA,NA,NA,NA,"it didn’t remind me of anything and i could barely imagine any thoughts.",1,1,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Electronic_LOW_09_Expansion.mp3","video game","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","reminds me of an intro on GTA back when i had an x-box. I imagined turning it on and going on gta, while waiting for the whole game to load and hearing this music in the background.",4,4,1,NA,3,2,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Electronic_LOW_14_Tape.mp3","bar ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","i imagined being in rave with several led and strobe lights. Everyone's having fun and dancing around with a partner.",4,2,1,NA,1,3,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","video game","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","I imagined my self in an old school movie-having a slow dance with a friend while sipping on a glass of wine.",4,4,1,NA,3,5,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Jazz_LOW_19_Sembellogy.mp3","concert ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","i imagined my self in the audience watching a live orchestra. Paying close attention to the smallest details while munching on a bucket of p",4,4,1,NA,2,3,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Electronic_MED_19_Looped.mp3","movie","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","reminds me of a music video of my favorite pop musician. i imagined my self being engrossed and entertained.",3,5,1,NA,3,4,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","bar ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","i imagined my self watching a live band and feeling nostalgic while nodding my head to the rhythm of the instruments.",3,2,2,NA,3,5,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Electronic_MED_20_The_Distance.mp3","concert ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","Vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers.",4,2,1,NA,4,3,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Metal_LOW_09_Darkside.mp3","concert ","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","i imagined my self watching a bunch of heavy metal songs with my favorite headset on.",5,3,1,NA,3,4,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"80s_MED_08_After_Tonight.mp3","video game","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","I imagined my self playing a nostalgic mobile game while this song plays as a sound track while i'm going through the tutorial.",4,4,2,NA,2,3,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","movie","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","reminds me of a Tom & jerry show i used to watch. The sound track playing in the background while Tom and jerry are being mischievous as usual.",4,5,1,NA,3,2,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Metal_LOW_14_Viaje_Por_Existir.mp3","movie","clip_context_g1","6113ffbf45e79bc2769db74c","clip_context_g1_6113ffbf45e79bc2769db74c_655729.csv","2025-07-01_04h33.24.315","y","The clip reminds me of a popular Jason statham action movie i watched a few years ago. The main actor being chased by the bad guys or the cops.",4,3,1,NA,3,2,TRUE,25,"Female","United States","United States","English",FALSE,NA,FALSE,NA,5,1,NA
"Jazz_LOW_19_Sembellogy.mp3","concert ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","I imagined some sort of 20's-style anime, maybe like Baccano, with some manner of heist going on with this as the BGM.",5,4,2,NA,1,5,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Electronic_LOW_09_Expansion.mp3","video game","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","Dimly-lit dancehall, bright, flashing LED lights, a DJ hyping the people up in the crowd, almost a rave air about it.",5,5,4,NA,1,4,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","video game","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","Classic lounge music, prohibition-era speakeasy or something like that, a scene you'd see in some older show or movie centering on a private eye.",5,5,4,NA,1,5,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Metal_LOW_09_Darkside.mp3","concert ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","n",NA,NA,NA,NA,"I tried to think of where I'd hear something like that, but as soon as the metal growl came in, I just drew a blank. Nothing came to mind.",1,3,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Electronic_MED_19_Looped.mp3","movie","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","n",NA,NA,NA,NA,"It started off sounding like one of those ""lost without you"" type of pop songs you hear on the radio, but the percussion threw me off. I don't really see it being anywhere else but a movie.",1,3,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"80s_LOW_02_Breaking_Away.mp3","bar ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","Noir film, rainy night in the inner city, as the private eye walks somberly down the middle of the empty road. Very evocative.",5,5,4,NA,1,4,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"80s_LOW_06_Summer_Beach.mp3","concert ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","n",NA,NA,NA,NA,"It just fits with the concert vibe. Very vibrant, very performative.",1,4,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","bar ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","n",NA,NA,NA,NA,"You guys really like the jazzy noir vibe, don't you? I get it, I do too.",1,5,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Metal_MED_19_Thunderhorse.mp3","bar ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","It's not even that I have a thought of where it should be, I just don't picture that in a bar. It's more at home in a Guitar Hero game than a bar. If I hear that in a bar, I have to haul it out of there, because this is some serious biker bar or something.",5,5,3,NA,1,2,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Electronic_MED_20_The_Distance.mp3","concert ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","This is the kind of background music you hear when some big tech company makes some ""major innovation in the sphere"" and decides to make a five-minute-long info dump explaining why this $1000 smartphone is different from the one you just bought.",5,5,2,NA,1,4,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","movie","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","n",NA,NA,NA,NA,"I can see some movie main character waiting in an elevator with this kind of calypso playing.",1,3,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","movie","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","n",NA,NA,NA,NA,"This is like if David Bowie's Labyrinth was starring Bruno Mars.",1,3,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Metal_LOW_14_Viaje_Por_Existir.mp3","movie","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","This is what someone puts as the backing music for their modern take on MegaMan in a big fight. It's like a modernized rom hack.",5,5,5,NA,1,4,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Electronic_LOW_14_Tape.mp3","bar ","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","This feels like it was just ripped straight from a level in Shovel Knight. Dunno which though, never beat it myself. If you play this in a bar, they'll laugh you straight out.",5,5,2,NA,1,4,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Metal_MED_20_Welcome_to_the_Family.mp3","video game","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","n",NA,NA,NA,NA,"I could see this being in some Sonic Adventures game or a modern entry. Maybe the new one could have a track like this? Can't even remember what it's called, but I think it would fit.",1,3,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"80s_MED_08_After_Tonight.mp3","video game","clip_context_g1","629e633c82ed7bd84fce0f9a","clip_context_g1_629e633c82ed7bd84fce0f9a_829867.csv","2025-07-01_06h00.46.768","y","That sounds like the opening theme (or closing theme, not sure now) to some 80's sitcom. Not gonna specify which, you can really just take your pic, they all had a very same-y sound profile for it.",5,5,2,NA,1,2,TRUE,30,"Male","United States","United States","English",FALSE,NA,FALSE,NA,3,2,NA
"Metal_LOW_14_Viaje_Por_Existir.mp3","movie","clip_context_g1","63e5412532b6ef655b596338","clip_context_g1_63e5412532b6ef655b596338_924950.csv","2025-07-01_10h57.55.830","y","I felt and envisioned a suspenseful boss-fight in a video",5,5,2,NA,2,5,TRUE,29,"Male","United Kingdom","Sweden","Swedish",TRUE,"English",FALSE,NA,2,1,"I really liked this study! It was fun and made me use my brain!"
